attraction_id,name,city,region,category,description,image_url
1,Casbah of Algiers,Algiers,North,Historic / UNESCO,"The Ottoman-era citadel and old medina of Algiers, a UNESCO World Heritage Site of steep alleys, traditional houses, mosques and palaces overlooking the Mediterranean bay.",https://commons.wikimedia.org/wiki/Special:FilePath/Casbah%20of%20Algiers%201.JPG?width=1000
2,Tassili n'Ajjer,Djanet,Sahara,Nature / UNESCO,"A vast sandstone plateau deep in the Sahara, UNESCO-listed for thousands of prehistoric rock paintings and engravings and its dramatic eroded rock 'forests'.",https://commons.wikimedia.org/wiki/Special:FilePath/Djanet%20tassili%20n%27ajjers.JPG?width=1000
3,Timgad,Batna,East,Roman Ruins / UNESCO,"The 'Pompeii of Africa' - a remarkably preserved Roman colonial town founded by Emperor Trajan around 100 AD, famous for its grid plan, theatre and Arch of Trajan.",https://commons.wikimedia.org/wiki/Special:FilePath/Timgad.Arc%20de%20Trajan%20et%20Cardo%20principal.jpg?width=1000
4,Djemila (Cuicul),Setif,East,Roman Ruins / UNESCO,"Mountain Roman ruins adapted to rugged terrain, with a well-preserved forum, temples, basilicas and exceptional mosaics. A UNESCO World Heritage Site.",https://commons.wikimedia.org/wiki/Special:FilePath/DJAMILA%20ROMAN%20RUINS.JPG?width=1000
5,Tipaza,Tipaza,North,Roman Ruins / UNESCO,"Seaside ruins blending Phoenician, Roman and early-Christian remains on the Mediterranean coast, near the Royal Mausoleum of Mauretania. UNESCO World Heritage Site.",https://commons.wikimedia.org/wiki/Special:FilePath/Sites%20historiques%20Tipaza%207.JPG?width=1000
6,M'zab Valley (Ghardaia),Ghardaia,Sahara,Historic / UNESCO,"Five fortified hilltop towns (ksour) built by the Mozabites around the 10th century, with distinctive cubic architecture and palm groves. A UNESCO World Heritage Site.",https://commons.wikimedia.org/wiki/Special:FilePath/Ghardaia%20%2815276537883%29.jpg?width=1000
7,Hoggar Mountains (Assekrem),Tamanrasset,Sahara,Nature / Mountains,"A volcanic highland range in the deep south, famous for the Assekrem viewpoint and its spectacular Saharan sunrises, and for Tuareg culture.",https://commons.wikimedia.org/wiki/Special:FilePath/%D8%AC%D8%A8%D8%A7%D9%84%20%D8%A3%D8%B3%D9%83%D8%B1%D9%85%20%D8%AA%D9%85%D9%86%D8%B1%D8%A7%D8%B3%D8%AA%20%D8%AC%D9%86%D9%88%D8%A8%20%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1.jpg?width=1000
8,Notre-Dame d'Afrique,Algiers,North,Religious / Landmark,"A 19th-century Neo-Byzantine Roman Catholic basilica perched above the bay of Algiers, known for its inscription 'Pray for us and for the Muslims'.",https://commons.wikimedia.org/wiki/Special:FilePath/Notre%20Dame%20d%27Afrique%202010.jpg?width=1000
9,Maqam Echahid (Martyrs' Memorial),Algiers,North,Monument / Landmark,"A towering 1982 concrete monument shaped like three palm fronds, commemorating the Algerian War of Independence, with an eternal flame and panoramic views.",https://commons.wikimedia.org/wiki/Special:FilePath/Martyrs%20Memorial.%20Algiers%2C%20Algeria.jpg?width=1000
10,Santa Cruz Fort,Oran,West,Historic / Viewpoint,"A 16th-century Spanish fortress on Mount Murdjadjo above Oran, beside the Santa Cruz chapel, offering sweeping views over the city and harbour.",https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Santa%20Cruz%2C%20Oran%202013-2.jpg?width=1000
11,Jardin d'Essai du Hamma,Algiers,North,Park / Garden,"A historic botanical garden founded in 1832, with grand avenues of palms and ficus, rare plant collections and a small zoo near the bay.",https://commons.wikimedia.org/wiki/Special:FilePath/All%C3%A9e%20des%20dracoenas%20-%20Jardin%20d%27essai%20El%20Hamma%20-%20Alger.JPG?width=1000
12,Constantine - Bridges & Rhumel Gorge,Constantine,East,City / Scenery,"The dramatic 'City of Bridges', built on a plateau split by the deep Rhumel gorge and linked by spectacular suspension bridges such as Sidi M'Cid.",https://commons.wikimedia.org/wiki/Special:FilePath/1%20Pont%20de%20Sidi%20M%27Cid.JPG?width=1000
13,Tlemcen - Great Mosque & El Mechouar,Tlemcen,West,Historic / Religious,A jewel of Andalusian-Moorish heritage: the 12th-century Almoravid Great Mosque and the restored El Mechouar palace-citadel.,https://commons.wikimedia.org/wiki/Special:FilePath/Grande%20mosquee%20Tlemcen%20%28angle%29.jpg?width=1000
14,Cap Carbon (Bejaia),Bejaia,North,Nature / Coast,"A rugged Mediterranean cape in Gouraya National Park, with sea cliffs and one of the highest natural lighthouses in the world.",https://commons.wikimedia.org/wiki/Special:FilePath/Cap%20carbon%20bejaia.jpg?width=1000
15,Basilica of St. Augustine (Annaba),Annaba,East,Religious / Landmark,"A 19th-century hilltop basilica overlooking the ruins of ancient Hippo Regius, where St. Augustine served as bishop.",https://commons.wikimedia.org/wiki/Special:FilePath/The%20Saint%20Augustin%20Church.jpg?width=1000
